"description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl","rank"
"I represent the 21st District of TX in Congress and Chair the Science, Space, and Technology Committee. Join me: https://t.co/mIljMWAOmi",3236,23754,836,3667,"http://t.co/1dfigsNXcr","Lamar Smith",2008-08-14 21:53:40,FALSE,TRUE,"LamarSmithTX21","TX21","en","15856366",1440,FALSE,"http://pbs.twimg.com/profile_images/832336915462516736/nPS2XijX_normal.jpg",222
"U.S. Senator from the great state of Nevada.",2411,23692,410,485,"https://t.co/v6sRnbH7nI","Senator Cortez Masto",2016-12-20 20:53:22,FALSE,TRUE,"SenCortezMasto","","en","811313565760163844",553,FALSE,"http://pbs.twimg.com/profile_images/847453198113755136/Az66uO5y_normal.jpg",223
"Honored to represent the people of Arizona's Second Congressional District in the U.S House of Representatives.",2431,23564,192,756,"http://t.co/uhBWBXn5BB","Martha McSally",2015-01-06 20:39:37,FALSE,TRUE,"RepMcSally","Southern Arizona","en","2964949642",584,FALSE,"http://pbs.twimg.com/profile_images/824280851626295324/yUxrXubq_normal.jpg",224
"San Antonio native, @TAMU grad, former undercover @CIA officer, cybersecurity expert, Chair of IT Subcommittee on @GOPOversight, also on @HouseHomeland & HPSCI",4331,23562,5825,1025,"https://t.co/AZDfh0jDnz","Rep. Will Hurd",2015-01-06 04:27:18,FALSE,TRUE,"HurdOnTheHill","#TX23","en","2963445730",741,FALSE,"http://pbs.twimg.com/profile_images/923635844703023104/-FECv1jZ_normal.jpg",225
"Congressman representing the South Bronx, New York.",4218,23446,200,1070,"http://t.co/jXKviVB0sc","Jose E. Serrano",2009-04-20 16:06:56,FALSE,TRUE,"RepJoseSerrano","Bronx NY-Wash.DC","en","33563161",967,FALSE,"http://pbs.twimg.com/profile_images/3660133461/11799f104946003777b619effc437548_normal.jpeg",226
"Proud to represent the 2nd District of Kansas | CPA",5664,23361,96,4574,"http://t.co/CJ5DYqaInY","Lynn Jenkins",2009-01-28 15:54:00,FALSE,TRUE,"RepLynnJenkins","Topeka","en","19658173",1396,FALSE,"http://pbs.twimg.com/profile_images/730394282453045248/D_Fop41r_normal.jpg",227
"Proudly serving MD's 8th District. Senior Whip, Judiciary Vice Ranking Member. https://t.co/EkyEyszJWc",3410,23319,5416,4385,"https://t.co/bo0IGrClrq","Rep. Jamie Raskin",2016-12-08 17:00:41,FALSE,TRUE,"RepRaskin","Maryland's 8th District","en","806906355214852096",455,FALSE,"http://pbs.twimg.com/profile_images/886923881864466432/ahzjofKU_normal.jpg",228
"Congressman for California's 3rd Congressional District, former Lieutenant Governor, Insurance Commissioner, Deputy Interior Secretary, state legislator",11505,23309,234,9062,"https://t.co/URSjg4grIB","John Garamendi",2009-11-10 00:31:12,FALSE,TRUE,"RepGaramendi","Walnut Grove, CA","en","88806753",1142,FALSE,"http://pbs.twimg.com/profile_images/867754658919579648/_yzg8aMR_normal.jpg",229
"Official Twitter account for Congresswoman Joyce Beatty, representing Ohio's Third Congressional District in the U.S. House of Representatives.",5929,23306,973,1642,"https://t.co/ZrsTijMCcM","Joyce Beatty",2013-06-19 17:47:09,FALSE,TRUE,"RepBeatty","Ohio's Third District","en","1531521632",651,FALSE,"http://pbs.twimg.com/profile_images/616610538584281088/cvL14fuQ_normal.jpg",230
"Proudly serving California's 47th Congressional District. http://t.co/pHmhAyCM6J",3008,23151,297,3279,"http://t.co/0MV3JJn9EM","Rep. Alan Lowenthal",2013-01-02 18:11:33,FALSE,TRUE,"RepLowenthal","Long Beach, CA","en","1055730738",724,FALSE,"http://pbs.twimg.com/profile_images/523118825928015873/_KcBsyJZ_normal.jpeg",231
"Serving the 24th Congressional District of Texas | Member of @WaysandMeansGOP and House Ethics Committee",5045,22988,63,2151,"http://t.co/oo2nzXGA8N","Kenny Marchant",2009-03-12 16:19:18,FALSE,TRUE,"RepKenMarchant","Irving and Washington, D.C.","en","23976316",1237,FALSE,"http://pbs.twimg.com/profile_images/2645758686/89e205cff6e2c817ea71dfde513483f3_normal.jpeg",232
"Congressman for California's North Coast. On Facebook at https://t.co/a4QfL2Jw5p.   Listen to my brand new podcast at https://t.co/XDE8MuHKxF",1991,22979,41,815,"http://t.co/1EuZeNQsh6","Rep. Jared Huffman",2013-01-08 14:52:00,FALSE,TRUE,"RepHuffman","California's North Coast","en","1071102246",681,FALSE,"http://pbs.twimg.com/profile_images/651435990100279296/5lQBk2Ut_normal.png",233
"Proudly representing the people of Eastern North Carolina. #NC03",2147,22879,335,498,"http://t.co/G0tNMT3Ges","Rep. Walter Jones",2009-03-26 15:50:58,FALSE,TRUE,"RepWalterJones","Eastern North Carolina","en","26778110",1191,FALSE,"http://pbs.twimg.com/profile_images/110804051/WBJ_official_photo_normal.jpg",234
"Proudly serving the people of the 5th Congressional District of New York. For media inquiries, please contact jordan.morris@mail.house.gov",3735,22819,577,757,"https://t.co/TjxkxlvyuN","Gregory Meeks",2009-03-04 18:36:27,FALSE,TRUE,"RepGregoryMeeks","Queens, New York","en","22812754",1089,FALSE,"http://pbs.twimg.com/profile_images/831970661191020544/WIWY8Gnm_normal.jpg",235
"Congressman Jim Bridenstine has the honor of serving Oklahoma's First Congressional District.",1436,22797,271,2758,"http://t.co/jyfO2zOWnk","Jim Bridenstine",2013-01-15 17:33:38,FALSE,TRUE,"RepJBridenstine","","en","1092757885",1025,FALSE,"http://pbs.twimg.com/profile_images/378800000762626692/6cfa7621ee98bce9ca610c6011676e9c_normal.jpeg",236
"Proudly representing Minnesota's Fourth District in the United States House of Representatives.",5594,22791,548,1027,"https://t.co/EjwVeyAV1e","Rep. Betty McCollum",2012-03-06 20:52:11,FALSE,TRUE,"BettyMcCollum04","Minnesota","en","516880804",768,FALSE,"http://pbs.twimg.com/profile_images/937070688346759168/1U5lGi04_normal.jpg",237
"I represent the citizens of North Carolina’s 10th District in the United States Congress.",4346,22711,67,3817,"http://t.co/fKHDu4b6V5","Patrick McHenry",2009-03-30 16:42:39,FALSE,TRUE,"PatrickMcHenry","Denver, NC","en","27676828",1338,FALSE,"http://pbs.twimg.com/profile_images/651818702078373888/1O9z-PmQ_normal.jpg",238
"Congressman Griffith represents the 9th District of Virginia in the U.S. House of Representatives.",1073,22620,8,411,"http://t.co/DxAGNTJ5Ux","Morgan Griffith",2011-01-04 19:05:24,FALSE,TRUE,"RepMGriffith","9th District of Virginia","en","234057152",819,FALSE,"http://pbs.twimg.com/profile_images/1244240509/HMG2_normal.jpg",239
"Fighting to control spending & tax increases while advancing the principles of family, free enterprise, and freedom. @FinancialCmte Chairman.",941,22571,146,709,"https://t.co/lARXvSz1t8","Jeb Hensarling",2009-01-02 23:08:57,FALSE,TRUE,"RepHensarling","Washington, D.C.","en","18566912",1060,FALSE,"http://pbs.twimg.com/profile_images/563370002922098688/cIOuMZIT_normal.jpeg",240
"Representing Oregon's 1st District. Working to strengthen #PublicEducation, support #WorkingFamilies, & #DefendScience. Proud mom of two grown kids.",2579,22473,132,1202,"http://t.co/4mNk46JctA","Suzanne Bonamici",2012-04-20 16:30:32,FALSE,TRUE,"RepBonamici","","en","558769636",770,FALSE,"http://pbs.twimg.com/profile_images/378800000084043080/816f970a918a5d6fe798f5451dd249d7_normal.jpeg",241
"U.S. Congresswoman representing Washington's 1st Congressional District (#WA01)",3961,22453,1251,1853,"http://t.co/qnvcd0Kg","Rep. Suzan DelBene",2012-12-07 14:40:48,FALSE,TRUE,"RepDelBene","","en","995193054",781,FALSE,"http://pbs.twimg.com/profile_images/921427442857848832/1Launj_3_normal.jpg",242
"News from Congressman Michael McCaul (R-TX 10) and his Press Office",3041,22376,218,341,"https://t.co/bxJlTs1D8b","Michael McCaul",2009-03-25 03:54:11,FALSE,TRUE,"RepMcCaul","Texas' 10th District","en","26424123",1176,FALSE,"http://pbs.twimg.com/profile_images/378800000545299425/42711256d5e2644c778936f755b986cd_normal.jpeg",243
"Official account for the Office of Congressman Brian Higgins (NY-26) representing portions of Erie and Niagara counties. http://t.co/Cpl0TlH2JW",12676,22369,159,3284,"http://t.co/O0L2n6ZElF","Brian Higgins",2009-04-20 16:47:06,FALSE,TRUE,"RepBrianHiggins","WNY and Washington, DC","en","33576489",988,FALSE,"http://pbs.twimg.com/profile_images/655008552243761152/vHUDf1-r_normal.jpg",244
"Call me Fred. I'm a Husband, Dad, & proud to represent Michigan's 6th District (#MI06). Chair of #SubEnergy.

Instagram: https://t.co/IsaEh1ZsLm",4929,22199,1699,2089,"http://t.co/l6HwKLO9Gs","Fred Upton",2010-03-18 17:34:35,FALSE,TRUE,"RepFredUpton","St. Joseph, Michigan","en","124224165",1122,FALSE,"http://pbs.twimg.com/profile_images/378800000507840583/0dc990a78881b2a41d0dc1e7e751b839_normal.jpeg",245
"Farmer, mother, Maine islander, Member of Congress, lover of root vegetables",3267,22129,406,698,"http://t.co/vYvpiUxqqo","Chellie Pingree",2008-06-02 20:29:56,FALSE,TRUE,"chelliepingree","Maine -- the best place to be!","en","14984637",1299,FALSE,"http://pbs.twimg.com/profile_images/940974263569350662/0UKXAF-j_normal.jpg",246
"Member of Congress representing the First  District of Connecticut.",2646,21990,31,460,"https://t.co/2WXsNSQ5rW","Rep. John Larson",2009-06-24 21:47:31,FALSE,TRUE,"RepJohnLarson","Hartford, CT","en","50452197",945,FALSE,"http://pbs.twimg.com/profile_images/900152406318751745/8D0JLI4-_normal.jpg",247
"Congressman representing parts of the Bronx and Westchester Counties in New York #NY16",3268,21961,91,796,"http://t.co/BVwX9Ov3sA","Eliot Engel",2010-07-07 20:34:17,FALSE,TRUE,"RepEliotEngel","","en","164007407",910,FALSE,"http://pbs.twimg.com/profile_images/523095197983309825/3TdNyI76_normal.jpeg",248
"Proudly representing Oregon's 5th Congressional District",2081,21930,40,754,"http://t.co/idnXprkzal","Rep. Kurt Schrader",2009-02-10 21:04:21,FALSE,TRUE,"RepSchrader","Oregon","en","20545793",1135,FALSE,"http://pbs.twimg.com/profile_images/378800000699231986/e1da7064726a13bfda529d18efc048a8_normal.jpeg",249
"U.S. Representative for New York’s 20th Congressional District including Albany, Schenectady, Troy, Saratoga Springs, Amsterdam and surrounding areas.",10334,21791,1940,1863,"https://t.co/63lCEfxOKL","Paul Tonko",2009-10-21 17:24:57,FALSE,TRUE,"RepPaulTonko","","en","84119348",920,FALSE,"http://pbs.twimg.com/profile_images/885517553245855745/laR6ZByR_normal.jpg",250
"Proudly serving Texas' 27th Congressional District. @GOPoversight @HouseJudiciary @Transport",6575,21744,108,1037,"http://t.co/pkXZtbphWU","Blake Farenthold",2008-12-05 12:32:52,FALSE,TRUE,"farenthold","Corpus Christi, TX","en","17896154",945,FALSE,"http://pbs.twimg.com/profile_images/740199174012952578/toGYymr7_normal.jpg",251
"Avid hiker and coffee enthusiast who is proud to represent Arizona's 6th Congressional District in the U.S. House of Representatives.",3386,21682,392,1931,"http://t.co/bsAbCTNMdl","Rep David Schweikert",2010-12-21 19:48:02,FALSE,TRUE,"RepDavid","Arizona","en","229197216",1023,FALSE,"http://pbs.twimg.com/profile_images/878247060255977473/8dv9p7Zq_normal.jpg",252
"U.S. Congressman proudly fighting for the residents of Connecticut’s 2nd Congressional District. https://t.co/qNiLbsYBdJ, Instagram: repjoecourtney",5174,21663,93,1957,"http://t.co/AUFMDc1ZOx","Rep. Joe Courtney",2009-10-26 19:45:09,FALSE,TRUE,"RepJoeCourtney","Vernon, CT","en","85396297",956,FALSE,"http://pbs.twimg.com/profile_images/1417794144/New_Boston_Beef--North_Groves___35__normal.jpg",253
"Mom, community advocate, and U.S. Representative for Connecticut's 5th Congressional District. This is the official account for my Congressional office.",5629,21595,1180,1400,"http://t.co/fzRpgWawFH","Elizabeth Esty",2013-01-04 17:36:04,FALSE,TRUE,"RepEsty","Cheshire, CT","en","1060984272",751,FALSE,"http://pbs.twimg.com/profile_images/446012442053595136/F8Ivbrm2_normal.jpeg",254
"Official Twitter for Congressman Matt Gaetz.
Proud conservative, and Northwest Florida native who is honored to serve the First District of Florida.",1016,21584,197,698,"https://t.co/GcjK1dZCtR","Rep. Matt Gaetz",2017-01-10 22:32:25,FALSE,TRUE,"RepMattGaetz","","en","818948638890217473",413,FALSE,"http://pbs.twimg.com/profile_images/925466871645683712/Iv3rRXEE_normal.jpg",255
"Proud to represent New York’s 27th Congressional District. Focused on less spending in Washington and more jobs in America. Member of @HouseCommerce",3415,21308,72,642,,"Rep. Chris Collins",2013-01-03 16:55:01,FALSE,TRUE,"RepChrisCollins","","en","1058256326",642,FALSE,"http://pbs.twimg.com/profile_images/621321986224971776/TuwHi18w_normal.jpg",256
"Proudly serving Idaho's beautiful 1st Congressional District.",2031,21288,51,665,"http://t.co/6B5v8If4F2","Raúl R. Labrador",2011-02-02 16:26:52,FALSE,TRUE,"Raul_Labrador","Eagle, Idaho","en","246341769",981,FALSE,"http://pbs.twimg.com/profile_images/807285029843902465/c1yQwsg9_normal.jpg",257
"Representing NY's 6th Congressional District - Parts of West, Central and Northeast Queens.

For specific questions or concerns, please contact my office.",3692,21252,742,690,"http://t.co/P1ajY4Fn","Grace Meng",2012-12-31 20:28:41,FALSE,TRUE,"RepGraceMeng","","en","1051127714",752,FALSE,"http://pbs.twimg.com/profile_images/3257470174/64291ff1f090e3193c2764925000a1fa_normal.jpeg",258
"Official Twitter account for Robin Kelly, U.S. Representative #IL02.",2811,21179,2638,7689,"https://t.co/7pZornDHqs","Robin Kelly",2013-04-09 19:02:01,FALSE,TRUE,"RepRobinKelly","","en","1339931490",664,FALSE,"http://pbs.twimg.com/profile_images/765286993093881857/lkjbWaqk_normal.jpg",259
"I am proud to represent NC's 4th Congressional District, which includes Orange and parts of Wake and Durham Counties.",3209,21119,262,2435,"https://t.co/Ie8fVlfmac","David E. Price",2010-06-14 19:44:06,FALSE,TRUE,"RepDavidEPrice","","en","155669457",773,FALSE,"http://pbs.twimg.com/profile_images/910556431065247746/UJPWt7YJ_normal.jpg",260
"Congresswoman Virginia Foxx. Conservative representing North Carolina's Fifth District.",3577,20988,52,1375,"http://t.co/v3FwVSsRH1","Virginia Foxx",2008-09-12 13:30:07,FALSE,TRUE,"virginiafoxx","Banner Elk, NC","en","16256269",1354,FALSE,"http://pbs.twimg.com/profile_images/826530077798187010/ol7ZEx04_normal.jpg",261
"Serving #CA52. @EnergyCommerce, @VetAffairsDems, & @HouseNewDems. Country over Party / Truth & Rule of Law / Opportunity / Strength Abroad / Respect & Kindness",7972,20987,1316,914,"https://t.co/IHSIVXNojp","Rep. Scott Peters",2013-01-30 23:28:14,FALSE,TRUE,"RepScottPeters","San Diego, Poway, Coronado","en","1135486501",774,FALSE,"http://pbs.twimg.com/profile_images/847802771403419649/qRH_GPtZ_normal.jpg",262
"Proudly representing Pennsylvania's 11th Congressional District.",2540,20977,242,1745,"http://t.co/2bjJjbvMJ2","Rep. Lou Barletta",2011-01-18 16:37:10,FALSE,TRUE,"RepLouBarletta","","en","239871673",847,FALSE,"http://pbs.twimg.com/profile_images/378800000575978494/4c44fc43515e33320fa3013a5642ea97_normal.jpeg",263
